Timestamp,1. Do you consent to participate in this survey?,2. Which age category do you belong to?,3. How do you identify yourself?,4. How often do you use the following devices? [Smartphone],4. How often do you use the following devices? [Laptop/Computer],4. How often do you use the following devices? [Tablet],4. How often do you use the following devices? [Smart home device],5. Which social media platforms do you use regularly? (Select all that apply)  ,6. How concerned are you about the privacy of your personal information online? ,7. Have you ever adjusted your privacy settings on social media platforms? ,"8. How frequently do you read the privacy policies of websites or apps before using them? (Never, Rarely, Sometimes, Often, Always)  ",9. Have you ever experienced a data breach or had your personal information compromised? ,10. Do you use any of the following methods to protect your personal information? (Select all that apply)  ,11. How important is digital privacy to you?   ,"12. Do you believe that technology companies do enough to protect user privacy? (Strongly disagree, Disagree, Neutral, Agree, Strongly agree)  ","13. How confident are you in your ability to manage your privacy settings and protect your personal information online? (Not confident, Slightly confident, Moderately confident, Very confident, Extremely confident)  ",14. Do you feel that you have enough information to make informed decisions about your digital privacy?,15. Please share any additional thoughts or concerns you have about technology and privacy:  
11/11/2024 20:27,Yes,18-30,Female,Always,Always,Never,Never,Instagram,5,Yes,3,Yes,Two - Factor Authentication,Extremely important,1,3,Neutral,...
11/11/2024 20:27,Yes,18-30,Female,Often,Often,Sometimes,Always,"Instagram, LinkedIn",4,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update, Usage of VPNs",Extremely important,3,4,Neutral,..
11/11/2024 21:37,Yes,18-30,Female,Often,Sometimes,Rarely,Rarely,Instagram,3,Yes,4,Yes,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,2,2,Disagree,Need more security regarding data breaches 
11/11/2024 21:45,Yes,18-30,Male,Always,Always,Sometimes,Rarely,"Facebook, Instagram, LinkedIn",5,Yes,5,Yes,Two - Factor Authentication,Extremely important,4,3,Neutral,"As technology is increasing day by day , i have concern mainly about the data privacy and unemployment which number of people who could not able to cope with technology can face these issue, which ultimately lead to unemployment and further can increase in crime in order to survive. "
11/11/2024 21:50,Yes,18-30,Prefer not to say,Always,Always,Never,Never,Instagram,5,Yes,4,Yes,Two - Factor Authentication,Moderately important,1,1,Neutral,.
11/12/2024 22:32,Yes,18-30,Male,Sometimes,Sometimes,Never,Rarely,LinkedIn,5,Yes,3,No,"Strong Passwords, Two - Factor Authentication",Extremely important,4,3,Neutral,Nothing 
11/12/2024 22:35,Yes,18-30,Female,Always,Never,Never,Never,WhatsApp and YouTube ,5,Yes,2,No,Two - Factor Authentication,Extremely important,3,3,Neutral,We should also aware our family and peera about technology and privacy 
11/12/2024 23:02,Yes,18-30,Female,Always,Often,Sometimes,Sometimes,WhatsApp ,5,Yes,4,No,"Strong Passwords, Two - Factor Authentication, Frequent Security Update",Extremely important,2,3,Neutral,None
11/13/2024 12:16,Yes,18-30,Female,Always,Often,Often,Often,"Instagram, Snap",5,Yes,5,Yes,"Strong Passwords, Two - Factor Authentication",Extremely important,5,5,Strongly agree,NA
11/13/2024 12:16,Yes,18-30,Male,Sometimes,Sometimes,Sometimes,Sometimes,Instagram,5,Yes,5,No,Strong Passwords,Extremely important,4,5,Strongly agree,Access to information and more live communication 
